DRUG,WORD,STRING_SIM,PHONET_SIM,MATCH
risperidona,risperdina,0.86850,0.92603,1
risperidona,risperdiona,0.91000,0.95500,1
risperidona,risperdona,0.95834,0.97657,1
risperidona,risperidal,0.82857,0.85294,0
risperidona,risperidana,0.90000,0.94125,1
risperidona,risperidena,0.91000,0.94625,1
risperidona,risperideno,0.87000,0.92625,1
risperidona,risperidina,0.91000,0.94625,1
risperidona,risperidiona,0.95834,0.97719,1
risperidona,risperidna,0.92839,0.95598,1
risperidona,risperidoan,0.92000,0.96000,1
risperidona,risperidon,0.94836,0.96783,1
risperidona,risperidona,1.00000,1.00000,1
risperidona,risperidone,0.94000,0.96250,1
risperidona,risperidons,0.94000,0.95416,1
risperidona,risperidoona,0.96832,0.99406,1
risperidona,risperieona,0.91000,0.91233,1
risperidona,risperifdona,0.92839,0.92725,1
risperidona,risperifona,0.88000,0.87438,1
risperidona,risperina,0.87043,0.88693,0
risperidona,risperindona,0.94836,0.95408,1
risperidona,risperiodna,0.90000,0.95000,1
risperidona,risperiona,0.92839,0.92413,1
risperidona,risperisona,0.91000,0.88875,1
risperidona,risperodona,0.93000,0.96188,1
risperidona,rispertidona,0.92839,0.93724,1
risperidona,rispiredona,0.89000,0.93438,1
risperidona,rispireridona,0.91989,0.94473,1
risperidona,rispiridona,0.91000,0.94625,1
risperidona,rispirodona,0.86000,0.91750,1
risperidona,rispirona,0.83087,0.86406,0
risperidona,rispperidona,0.96832,0.99406,1
risperidona,risprazidona,0.83855,0.88169,1
risperidona,rispridona,0.92839,0.95598,1
risperidona,rispéridona,0.88000,0.99250,1
risperidona,risteridona,0.88000,0.88938,1
risperidona,rploratadina,0.61893,0.70761,0
risperidona,rsiperidona,0.91000,0.95188,1
risperidona,rsisperidona,0.92839,0.95658,1
risperidona,rsperidona,0.95834,0.97407,1
risperidona,spperineo,0.78141,0.79820,0
risperidona,supervisiona,0.75869,0.73054,0
risperidona,supervisona,0.77000,0.73375,0
risperidona,supervisonada,0.76163,0.75040,0
risperidona,suspenderia,0.75000,0.77500,0
risperidona,ulceraspernas,0.62315,0.66556,0
sinvastatina,aatorvastatina,0.85065,0.87456,0
sinvastatina,adnistatina,0.80860,0.83865,0
sinvastatina,artorvastatina,0.81108,0.83293,0
sinvastatina,artrovastatina,0.81108,0.83293,0
sinvastatina,atorvastaina,0.81000,0.82927,0
sinvastatina,atorvastastina,0.82098,0.83663,0
sinvastatina,atorvastateina,0.80119,0.84131,0
sinvastatina,atorvastatian,0.78864,0.84110,0
sinvastatina,atorvastatin,0.83000,0.85938,0
sinvastatina,atorvastatina,0.85851,0.87604,0
sinvastatina,atorvastationa,0.79130,0.83636,0
sinvastatina,atorvastina,0.79862,0.82242,0
sinvastatina,atosvastatina,0.88846,0.90664,0
sinvastatina,atraovastatina,0.84076,0.86727,0
sinvastatina,atrovastatina,0.85851,0.87604,0
sinvastatina,fluvastatina,0.83000,0.85438,0
sinvastatina,inestinais,0.75174,0.80115,0
sinvastatina,instestinais,0.75000,0.79750,0
sinvastatina,intestinai,0.75174,0.79621,0
sinvastatina,intestinasis,0.75000,0.77063,0
sinvastatina,invastatina,0.96832,0.97155,0
sinvastatina,ivantina,0.75060,0.80181,0
sinvastatina,lovastatina,0.85851,0.87421,0
sinvastatina,niastatina,0.87043,0.88966,0
sinvastatina,nistaina,0.77874,0.82497,0
sinvastatina,nistatiana,0.79130,0.84759,0
sinvastatina,nistatina,0.83378,0.86935,0
sinvastatina,nistatinam,0.81108,0.83293,0
sinvastatina,nistatitina,0.83855,0.85987,0
sinvastatina,nistatyina,0.79130,0.86139,0
sinvastatina,nistratina,0.79130,0.81680,0
sinvastatina,parvastatina,0.85000,0.86125,0
sinvastatina,pravastatin,0.80860,0.83858,0
sinvastatina,pravastatina,0.85000,0.86125,0
sinvastatina,pravastina,0.78141,0.80312,0
sinvastatina,rivagastrina,0.75000,0.76669,0
sinvastatina,rivastgmina,0.75869,0.77283,0
sinvastatina,rivastigmina,0.76000,0.77234,0
sinvastatina,rosuvastartina,0.78141,0.78137,0
sinvastatina,sandostatin,0.75869,0.81113,0
sinvastatina,sibcastatina,0.83000,0.82625,0
sinvastatina,sicvastatina,0.91000,0.91000,0
sinvastatina,siinvastatina,0.96832,0.99406,1
sinvastatina,simvastatin,0.88846,0.90663,1
sinvastatina,simvastatina,0.91000,0.91875,1
sinvastatina,sinastatina,0.92839,0.92850,1
sinvastatina,sinasvtatina,0.90000,0.92438,1
sinvastatina,sinavastatina,0.94836,0.97220,1
sinvastatina,sincastatina,0.89000,0.88313,0
sinvastatina,sincvastatina,0.92839,0.92913,1
sinvastatina,sintastatina,0.91000,0.90875,0
sinvastatina,sinvanstatina,0.95834,0.96219,1
sinvastatina,sinvasatatina,0.95834,0.94097,1
sinvastatina,sinvasstaina,0.93000,0.96000,1
sinvastatina,sinvastacor,0.80860,0.83546,0
sinvastatina,sinvastadina,0.92000,0.93750,1
sinvastatina,sinvastaina,0.95834,0.96531,1
sinvastatina,sinvastaitna,0.91000,0.95500,1
sinvastatina,sinvastarina,0.92000,0.91875,1
sinvastatina,sinvastartina,0.92839,0.92913,1
sinvastatina,sinvastastina,0.95834,0.95658,1
sinvastatina,sinvastataina,0.95834,0.97719,1
sinvastatina,sinvastatatina,0.95945,0.96389,1
sinvastatina,sinvastatian,0.93000,0.96500,1
sinvastatina,sinvastatiana,0.95834,0.97782,1
sinvastatina,sinvastatin,0.97831,0.98780,1
sinvastatina,sinvastatina,1.00000,1.00000,1
sinvastatina,sinvastatinae,0.95834,0.97345,1
sinvastatina,sinvastatinas,0.97831,0.97966,1
sinvastatina,sinvastatins,0.97000,0.97415,1
sinvastatina,sinvastationa,0.92839,0.95723,1
sinvastatina,sinvastatna,0.95834,0.97719,1
sinvastatina,sinvastatoina,0.92839,0.95723,1
sinvastatina,sinvastattina,0.96832,0.99406,1
sinvastatina,sinvastina,0.94956,0.95894,1
sinvastatina,sinvastitina,0.95000,0.97188,1
sinvastatina,sinvastqatina,0.92839,0.93162,1
sinvastatina,sinvasttaina,0.93000,0.96000,1
sinvastatina,sinvasttatina,0.96832,0.99406,1
sinvastatina,sinvasttian,0.87848,0.92398,1
sinvastatina,sinvasttina,0.95834,0.96059,1
sinvastatina,sinvestatina,0.91000,0.94625,1
sinvastatina,sinvstatin,0.91989,0.95679,1
sinvastatina,sinvstatina,0.94836,0.97220,1
sinvastatina,sionvastatina,0.92839,0.95660,1
sinvastatina,sisvastatina,0.93000,0.94563,1
sinvastatina,sivastantina,0.90000,0.91000,1
sinvastatina,sivsstatina,0.87848,0.92208,1
sinvastatina,snvastatina,0.94836,0.97220,1
sinvastatina,szinvastatina,0.92839,0.94036,1
sinvastatina,torvastatina,0.85000,0.87125,0
sinvastatina,vintaminas,0.77152,0.80004,0
atenolol,atenolol,1.00000,1.00000,1
diazepam,diazepam,1.00000,1.00000,1
dipirona,dipirona,1.00000,1.00000,1
glicose,glicose,1.00000,1.00000,1
insulina,insulina,1.00000,1.00000,1
amitriptilina,aaamitriptlina,0.92839,0.97158,1
amitriptilina,aamitriptilina,0.97831,0.99593,1
amitriptilina,aimitriptilina,0.94836,0.97220,1
amitriptilina,aitriptilina,0.92839,0.94223,1
amitriptilina,amaitriptilina,0.95834,0.97782,1
amitriptilina,amatripilina,0.89845,0.92975,1
amitriptilina,amiitriptlina,0.92000,0.97000,1
amitriptilina,amiotriptilina,0.93838,0.96284,1
